Key,Description,Standard,ES
SAY.Tutorial and First Room.3.,,"Hello Dungeon Hunter, What is your name?","Hola cazador de Calabozos, ¿Cual es tu nombre?"
SAY.Tutorial and First Room.9.,,Welcome: {$PlayerName},Bienvenido: {$PlayerName}
SAY.Tutorial and First Room.16.,,"Welcome to the dungeon, in this induction tutorial I will share the knowledge necessary to survive (or at least try), the dangers that lie ahead in the dungeon.","Bienvenido al calabozo, en este tutorial de inducción te compartiré el conocimiento necesario para sobrevivir (o intentarlo al menos), a los peligros que se avecinan en el calabozo. "
SAY.Tutorial and First Room.17.,,"First of all, the weapons that you will choose will help you to face the horrible creatures that were in the dungeon, but there will be other obstacles that will appear throughout your trip, to avoid them you will need to use the magic.","Primero que nada las armas que elegirás te servirán para afrontar a las horribles criaturas que yacen en el calabozo, pero habrá otros obstáculos que se te presentarán a lo largo de tu viaje, para lograr eludirlos necesitaras usar las magias."
SAY.Tutorial and First Room.18.,,"It is also important the combination of weapons and magic spells, for the construction of your skills.",También es importante que entiendas que dependiendo de las armas y magias que elijas podrás combinarlas para realizar obtener diferentes habilidades. 
SAY.Tutorial and First Room.19.,,"This combination left you create new skills, and access new powers. You can also add more than just one weapon or one magic spells.",Esta combinación te permite crear nuevas habilidades y acceder a nuevos poderes. También puedes agregar más de un arma o un hechizo mágico. 
SAY.Tutorial and First Room.20.,,"The more advances in the dungeon, you can adquire rewards to move forward in your journey, among these rewards you will find items, power ups, and new skills.","Entre más avances en el dungeon, podrás adquirir recompensas para seguir adelante en tu travesía, entre estas recompensas encontraras items, power ups, y nuevas habilidades. "
SAY.Tutorial and First Room.21.,,Now choose you weapon:,Ahora elige tu arma: 
MENU.Tutorial and First Room.25,,Hammer,Martillo
MENU.Tutorial and First Room.26,,Shield & Axe,Escudo y hacha
MENU.Tutorial and First Room.27,,Blade,Espadas
MENU.Tutorial and First Room.28,,Blow & Arrow,Arco y flechas
MENU.Tutorial and First Room.29,,Spell Staff,Báculo Magico
SAY.Tutorial and First Room.72.,,"Remember, your weapon can combine with the magic you choose next.","Recuerda, tu arma puede combinarse con las habilidades mágicas que elegiste. "
SAY.Tutorial and First Room.73.,,"Good, Now.\nChose your magic.","Bien, Ahora. \nElige tus habilidades mágicas: "
MENU.Tutorial and First Room.74,,Thunder,Trueno
MENU.Tutorial and First Room.75,,Rocks,Rocas
MENU.Tutorial and First Room.76,,Fire,Fuego
MENU.Tutorial and First Room.77,,Wind,Viento
MENU.Tutorial and First Room.78,,Water,Agua
SAY.Tutorial and First Room.80.,,"The magic force of the storm resounds in the sky with a deafening roar, the roar of the gods unleashing their fury from the sky. Like drums of war that when the combat is falling down making the earth tremble, so is the power of Thunder.","La fuerza mágica de la tormenta resuena en el cielo con un rugido ensordecedor, un devastador grito de furia  que cae desde los cielos. Al igual que los tambores de guerra resuenan llamando al combate, haciendo temblar la tierra, también lo hace el poder del TRUENO."
SAY.Tutorial and First Room.90.,,"The power of the earth, unbeatable and immovable as your will, uses its unbreakable spirit to overcome all adversities on your way to conquer the dungeon. become part of your enemies with the power of the EARTH.","Imbatible e inamovible, como tu voluntad, usa su inquebrantable espíritu para superar todas las adversidades en tu camino por conquistar el calabozo, Devora a tus enemigos con el poder de la TIERRA."
SAY.Tutorial and First Room.100.,,"
Start small with a small spark, but let it feed and become unstoppable, your hunger consumes everything up to it, the insatiable power of FIRE.","Inicia pequeño con una pequeña chispa,pero deja que se alimente y se volverá imparable, su hambre todo lo consume  hasta el mismo, el insaciable poder del FUEGO. "
SAY.Tutorial and First Room.110.,,"blow as a tender caress or roar like a hurricane sweeping everything in your path, reduce your obstacles to debris with the power of the WIND.","Sopla como una tierna caricia o ruge como un huracán arrasando todo a tu paso, reduce a escombros tus obstáculos con el poder del VIENTO. "
SAY.Tutorial and First Room.120.,,"Sacred giver of life, revitalize and heal with your purity or destroy everything with your anger, from heaven you fall turning into hell with your stormy power, undeck the dungeon under your control with the power of WATER.","Sagrada dadora de vida, revitaliza y sana con tu pureza o arrasa con todo con tu cólera, desde el cielo caes convirtiendo en infierno con tu poder tormentoso, hunde al calabozo bajo tu dominio con el poder del AGUA. "
SAY.Tutorial and First Room.130.,,Now This is your Character stats.,Ahora estas son las estadísticas de tu personaje. 
WRITE.Tutorial and First Room.133,,{$PlayerName},{$PlayerName}
WRITE.Tutorial and First Room.134,,{$Life},{$Life}
WRITE.Tutorial and First Room.135,,{$Mana},{$Mana}
WRITE.Tutorial and First Room.136,,{$Strength},{$Strength}
WRITE.Tutorial and First Room.137,,{$Defense},{$Defense}
WRITE.Tutorial and First Room.138,,{$Dexterity},{$Dexterity}
WRITE.Tutorial and First Room.139,,{$Agility},{$Agility}
WRITE.Tutorial and First Room.140,,{$Intelligence},{$Intelligence}
SAY.Tutorial and First Room.145.,,Now welcome to the first room of the dungeon.,"Ahora, bienvenido al primer cuarto del calabozo."
SAY.Tutorial and First Room.146.,,"
On the dark path that lies in front of you, you walk forward to the dark sight of the unknown, without hesitation, without title, without looking back.","En el sendero oscuro que yace frente a ti, caminas de frente hacia el oscuro abismo de lo desconocido, sin dudar, sin titubear, sin mirar atrás."
SAY.Tutorial and First Room.147.,,"
As you advance along the path, the light becomes more absent, you can barely see your hands in front of you, yet you still feel something close to you, a thirst for blood so great that even the darkness of this void can not hide it.","Mientras más avanzas, la luz empieza  a volverse escasa, apenas puedes ver tus manos frente a ti. Pronto sientes algo cerca de ti, una sed de sangre tan gigantesca que ni la oscuridad que te rodea puede ocultarla. "
SAY.Tutorial and First Room.148.,,"Emerge from the darkness with rapid and devastating onslaught, a minotaur that seeks to finish you.","Emerge desde la oscuridad, con una rápida y furiosa embestida un minotauro que busca acabar contigo. "
SAY.Tutorial and First Room.149.,,The minotaur lunged at you.,El minotauro se lanza por ti.
SAY.Tutorial and First Room.150.,,Choose,Elige: 
MENU.Tutorial and First Room.151,,Stop the Attack,Detener su ataque 
MENU.Tutorial and First Room.152,,Dodge it,Esquivarlo 
SAY.Tutorial and First Room.155.,,"
Well done, you managed to evade the attack.","Bien hecho, haz logrado evadir el ataque. "
SAY.Tutorial and First Room.156.,,Now Choose:,Ahora elige: 
MENU.Tutorial and First Room.157,,Counter Attack,Contra ataque
MENU.Tutorial and First Room.158,,Run,Correr
MENU.Tutorial and First Room.159,,Cast Spell,Lanzar hechizo
SAY.Tutorial and First Room.394.,,"
The minotaur attacks with fury, you try to evade the attack but you are not agile enough, so you end up being pierced by the minotaur's horns.","El minotauro embiste con furia, tratas de evadir el ataque pero no eres lo suficientemente agil, asi que terminas siendo atravesado por los cuernos del minotauro."
SAY.Tutorial and First Room.165.,,Your counter Attack was brutal.,Tu contra ataque es brutal. 
SAY.Tutorial and First Room.166.,,"The beast was wounded, but still stands.","La bestia está herida, pero aun prevalece "
SAY.Tutorial and First Room.167.,,"You have to do something quickly,\nChoose:","Tienes que hacer algo rápido, \n Elige: "
MENU.Tutorial and First Room.168,,Continue Figthing,Continuar Peleando. 
MENU.Tutorial and First Room.169,,Run,Huir
SAY.Tutorial and First Room.171.,,"Your attack was direct, but you do not have enough strength to cause serious damage.","Tu ataque fue directo, lamentablemente no tienes suficiente fuerza para causarle daño al minotauro. "
SAY.Tutorial and First Room.172.,,"
Now you're in trouble, choose:","Ahora estás en problemas, elige: "
MENU.Tutorial and First Room.173,,Run,Escapar del minotauro. 
MENU.Tutorial and First Room.174,,Cast Spell,Lanzar un Hechizo 
SAY.Tutorial and First Room.179.,,"
Prepare your hammer to deliver the final blow, the minotaur desperately avalances against you.","Preparas tu martillo para el golpe final, el minotauro desesperado se abalanza sobre ti. "
SAY.Tutorial and First Room.180.,,"
You wait patiently for it to approach you, hammering backwards with its metal head touching the ground.","Esperas pacientemente su aproximación, preparas tu martillo cargándolo hacia atrás con la punta metálica tocando el suelo."
SAY.Tutorial and First Room.181.,,"As soon as the minotaur is close enough, you turn your body throwing the hammer with a striking blow, which destroys the minotaur's chin by assassinating him instantly.","Tan pronto como el minotauro está lo suficientemente cerca, cargas tu cuerpo hacia adelante haciendo que el martillo conecte un devastador golpe que destruye la quijada del minotauro y lo asesina al instante. "
SAY.Tutorial and First Room.186.,,"
The minotaur is paralyzed after the great counter attack, With rage you rush with your shield in front of you.","El minotauro queda paralizado después de tu contraataque, con furia te lanzas con tu escudo por delante. "
SAY.Tutorial and First Room.187.,,"You hit the minotaur with force by dragging him against a wall, the blow is so strong that a crack is made in the wall.","Golpeas al minotauro con mucha fuerza haciéndolo  impactar contra la pared, el golpe es tan fuerte que abre una brecha en la pared. "
SAY.Tutorial and First Room.188.,,"After impacting the minotaur against the wall, it collapses to the ground, dazed and confused at your mercy, you decide to end the fight.","Después de haber impactado al minotauro contra la pared, este se desploma en el piso, cansado y confundido el minotauro se queda a tu merced, decidiendo dar fin a su vida. "
SAY.Tutorial and First Room.189.,,"You take your ax between your hands, raising it strongly to strike the final blow, that is how the head of the beast parts in two.","Tomas tu hacha entre tus manos, la levantas con fuerza para asestar el golpe de gracia, así es como la cabeza del minotauro se parte en dos por tu hacha."
SAY.Tutorial and First Room.193.,,"You try to strike a strong blow with your axe, however the minotaur manages to react hitting you hard.","Intentas dar un fuerte golpe con tu hacha, sin embargo, el minotauro logra reaccionar y te golpea con fuerza."
SAY.Tutorial and First Room.194.,,"The minotaur rushes furiously against you, you try to stop him with your shield but the minotaur is very strong, splitting your shield and killing you in the process.","El minotauro se lanza furioso contra ti, tratas de detenerlo con tu escudo, pero el minotauro es muy fuerte, divide tu escudo y te mata en el proceso. "
SAY.Tutorial and First Room.199.,,"At the moment the minotaur is affected by your counter attack, you rush to him in search of the final blow.","En este momento el minotauro se queda herido por tu contraataque, tu te lanzas contra la bestia buscando acabar con el. "
SAY.Tutorial and First Room.200.,,"The minotaur tries to connect you a blow to avoid your offensive, but the eludacy very easily slipping under your legs.","El minotauro intenta darte un golpe para contener tu ofensiva, pero lo esquivas muy rápido deslizándote entre sus piernas. "
SAY.Tutorial and First Room.201.,,"While you slide the minotaur's legs short, causing him to kneel.\n
In a short moment the back of the beast, which causes it to turn furious trying to attack you.","Mientras te deslizas debajo de las piernas del minotauro, aprovechas para herirlo en estas. Provocando que este se quede de rodillas. En un instante estás detrás de la bestia, furiosa intenta girar para atacarte. "
SAY.Tutorial and First Room.202.,,"
By dodging the attack of the beast with a leap, you throw a brutal thrust at the minotaur's throat. ","Al esquivar el ataque de la bestia con un salto, lanzas un brutal empuje a la garganta del minotauro."
SAY.Tutorial and First Room.203.,,"
Finally with the minotaur already lying on the floor, you wave your sword to strike the final blow on the chest of the beast, thus leaving his body inert.","Finalmente, con el minotauro ya tendido en el suelo, agitas tu espada para asestar el golpe final en el pecho de la bestia, dejando su cuerpo inerte. "
SAY.Tutorial and First Room.207.,,"You launch yourself on the minotaur to deliver the final blow, but while looking to strike your sword, the minotaur catches your sword with his hand.","Te lanzas sobre el minotauro para dar el golpe final, pero mientras intentas golpearlo con tu espada, el minotauro atrapa tu espada con la mano."
SAY.Tutorial and First Room.208.,,"The minotaur throws you into the sky using his bestial force and as you fall, you are looking for a final move to kill the monster.","El minotauro te lanza en el cielo usando su bestial fuerza, mientras caes te preparas para buscar un golpe final al minotauro. "
SAY.Tutorial and First Room.210.,,"You fall precipitously but you are determined to kill the beast, you prepare to strike a decisive blow, but the beast is strong and does not give up without fighting, just as you prepare to give a powerful blow with your horns.","Caes precipitadamente pero estas determinado a matar a la bestia, te preparas para dar el golpe decisivo, pero la bestia es fuerte y no sedera sin dar pelea, al igual que tu se prepara para dar un golpe final con sus cuernos. "
SAY.Tutorial and First Room.211.,,"While you are holding your sword tightly, you squeeze your fingers, your pupils contract, before the final blow. And it is like that in the furgor of the battle that the flame of your life is extinguished, with the horns of the minotaur piercing your heart.","Mientras sostienes la espada con fuerza, aprietas los dedos y tus pupilas se contraen antes del golpe final. Y es así como en el calor de la batalla se extingue la llama de tu vida, con los cuernos del minotauro perforando tu corazón. "
SAY.Tutorial and First Room.216.,,"After connecting your counterattack, you prepare to launch an arrow into the heart of the beast.","Después de conectar tu contraataque, te preparas para lanzar una flecha al corazón de la bestia. "
SAY.Tutorial and First Room.217.,,"You draw your bow and prepare your arrow, firing at your target. But the minotaur does not seat without giving a fight, manages to catch your arrow with his hands.","Tomas tu arco y preparas tu flecha, apuntando a tu objetivo, pero el minotauro no está dispuesto a morir sin dar pelea, atrapa tu flecha  con sus manos."
SAY.Tutorial and First Room.218.,,"After catching your arrow the minotaur decides to prove to you that you are not the only one you can throw, using his bestial force to tear off a piece of the ground that he uses as a projectile against you.","Después de atrapar tu flecha, el minotauro decide demostrarte que no eres el único que puedes lanzar, usando su fuerza bestial para arrancar un trozo de tierra que usa como proyectil contra ti. "
SAY.Tutorial and First Room.219.,,"Dodge the rock agile, but the minotaur is launched against you with a fierce leap into the air, falls with fury hitting the ground hard.","Esquivas la roca ágil, pero el minotauro se lanza contra ti con un salto feroz en el aire, cae con furia golpeando el suelo con fuerza. "
SAY.Tutorial and First Room.220.,,"You turn quickly to avoid being crushed by the minotaur, the battle becomes tense, the minotaur launches at you again and again, but your agility allows you to escape from it.","Te giras rápidamente para evitar ser aplastado por el minotauro, la batalla se vuelve tensa, el minotauro se lanza una y otra vez, pero tu agilidad te permite escapar de él."
SAY.Tutorial and First Room.221.,,"
Finally you stay between the sword and the wall, because without realizing it you have edged. The minotaur rushes furiously against you, but once again you show off your skill.","Finalmente te quedas entre la espada y la pared, porque sin darte cuenta te has encerrado. El minotauro se lanza furioso contra ti, pero una vez más demuestras tu habilidad. "
SAY.Tutorial and First Room.222.,,"
Dodge the blow and leave the minotaur stuck against the wall, while the beast struggles to get out you prepare your bow, finally the minotaur pulls his horns from the wall to turn finding a fate worse, your arrow pierces his heart giving you victory.","Esquivas el golpe y dejas al minotauro pegado a la pared, mientras la bestia lucha por salir, prepara tu arco y finalmente, el minotauro saca sus cuernos de la pared para encontrar un destino peor, tu flecha perfora su corazón y te da la victoria. "
SAY.Tutorial and First Room.226.,,"Prepare your bow and arrow to kill the beast, shoot but the minotaur manages to dodge the arrow resiviendola in the left forearm.","Preparas tu arco y flecha para matar a la bestia, disparas pero el minotauro logra esquivar la flecha recibiendola en el antebrazo izquierdo. "
SAY.Tutorial and First Room.227.,,"The beast withdrew the arrow from the forearm, broke it off by squeezing it very hard, I look at you with fury and I kneel down taking huge rocks from the ground that bind with force against you.","La bestia retiró la flecha del antebrazo, la rompió apretándola muy fuerte, te miro con furia y me arrodillo sacando enormes rocas del suelo que se unen con fuerza contra ti."
SAY.Tutorial and First Room.228.,,"
Dodge the rocks, but the minotaur is not over, with fury roars and prepares to take the floor hard, taking a huge fragment of the ground that throws you.","Esquivas las rocas, pero el minotauro no ha terminado, con furia ruge y se prepara para tomar el piso con fuerza, tomando un enorme fragmento de tierra que te arroja. "
SAY.Tutorial and First Room.229.,,"Seeing the tremendous rock fly like that, you decide to use special arrows, these arrows are able to destroy an obstacle of this size, after the explosion, a cloud of dust and debris emerges with presipitation.","Al ver el inmenso tamaño de la roca, decides utilizar flechas especiales, estas flechas son capaces de destruir un obstáculo de este tamaño; después de la explosión, una nube de polvo y escombros emerge con precipitación."
SAY.Tutorial and First Room.230.,,"From that cloud of debris arises the claw of the minotaur that holds your neck, looking at you with fury the minotaur tightens hard destroying you in a second.","De esa nube de escombros surge la garra del minotauro que sostiene tu cuello, mirándote con furia, el minotauro aprieta tu garganta y te destruye en un segundo. "
SAY.Tutorial and First Room.235.,,"The beast approaches you quickly, to prevent it from reaching you use a spell that turns the floor into quicksand, trapping the minotaur.","La bestia se acerca a ti rápidamente, para evitar que te alcance, utilizas un hechizo que convierte el suelo en arenas movedizas, atrapando al minotauro. "
SAY.Tutorial and First Room.236.,,"
The minotaur is stopped but it is still a threat, you begin to use your power to transform the sand into powerful acid.
\nSay, 
The minotaur is so deeply buried that he does not have time to leave the sand once it is transformed, dying consumed by the acid.","El minotauro se ha detenido, pero sigue siendo una amenaza, empiezas a usar tu poder para transformar la arena en un ácido poderoso. \nEl minotauro está tan profundamente enterrado que no tiene tiempo para abandonar la arena una vez que se transforma, muriendo consumido por el ácido."
SAY.Tutorial and First Room.239.,,"
Using your powerful magic, cast a spell with which you intend to kill the minotaur, the minotaur manages to react so he dodges the impact, this leaves a huge crater on the ground.","Usando tu poderosa magia, lanzas un hechizo con el que intentas matar al minotauro, el minotauro logra reaccionar y esquiva el impacto, dejando un enorme cráter en el suelo. "
SAY.Tutorial and First Room.240.,,"
The minotaur rushes to capture you, taking you by the arm and the leg lifts you over his head.","El minotauro se apresura a capturarte, tomándote del brazo y la pierna te levanta sobre su cabeza. "
SAY.Tutorial and First Room.241.,,Preparing to launch you into the crater you just created with your spell.,Preparándote para lanzarte al cráter que acabas de crear con tu hechizo. 
SAY.Tutorial and First Room.242.,,"The minotaur throws you into the void, ending your life and your adventure in the dungeon.","El minotauro te arroja al vacío, terminando tu vida y tu aventura en el calabozo. "
SAY.Tutorial and First Room.247.,,"You run towards the minotaur, eager to claim your first victory in the dungeon.","Corres hacia el minotauro, ansioso por reclamar tu primera victoria en el calabozo. "
SAY.Tutorial and First Room.248.,,"But you are very impulsive, the minotaur reacts by sending you flying through the air with a goring, when you fall you break your neck among other things.","Pero eres muy impulsivo, el minotauro reacciona enviándote a volar por el aire con una cornada, cuando caes te rompes el cuello entre otras cosas."
SAY.Tutorial and First Room.249.,,The dungeon cries out to another intrepid but reckless adventurer.,La mazmorra clama a otro intrépido pero temerario aventurero. 
SAY.Tutorial and First Room.252.,,"Now that you have finished with the minotaur, you can continue advancing, after a few minutes of walking, an incriminated one appears before you, choose:","Ahora que has terminado con el minotauro, puedes continuar avanzando, después de unos minutos de caminata, aparece uno incriminado delante de ti, elige:"
MENU.Tutorial and First Room.253,,Left,Izquierda
MENU.Tutorial and First Room.254,,Right,Derecha
SAY.Tutorial and First Room.256.,,,
You try to flee taking advantage of the hard blow you hit the minotaur.,,,
SAY.Tutorial and First Room.258.,,The beast is fast but due to the blow and your great agility you manage to escape from the minotaur.,La bestia es rápida pero debido al golpe y tu gran agilidad logras escapar del minotauro. 
SAY.Tutorial and First Room.259.,,"Now run to escape the minotaur, reaching a division on the way, you must choose your next move:","Ahora corres para escapar del minotauro, pero en el camino te encuentras con una separación, elige. "
MENU.Tutorial and First Room.260,,Left,Izquierda
MENU.Tutorial and First Room.261,,Right,Derecha
SAY.Tutorial and First Room.263.,,"You seek to elude the beast with your great ability, unfortunately your ability is not as great as the beast.","Tratas de eludir a la bestia con tu gran habilidad, lamentablemente tu habilidad no es tan grande como la de la bestia. "
SAY.Tutorial and First Room.269.,,say ,
You summon a powerful thunder that rushes against the minotaur like a spear piercing its flesh and leaving it dead at your feet.,,,
SAY.Tutorial and First Room.273.,,You summon a powerful thunder that rushes against the minotaur like a spear piercing its flesh and leaving it dead at your feet.,"Tu generas un poderoso trueno que que se abalanza contra el minotauro como una penetrante lanza, que atraviesa al minotauro desplomándose frente a ti,el cadáver de la bestia."
SAY.Tutorial and First Room.277.,,"
Using your magic you create a flare around your right arm, giving a powerful blow against the floor, you throw the flare through the ground that when hitting the minotaur, causes an explosion that calzinates the beast.","Usando tu magia creas una llamarada alrededor de tu brazo derecho, dando un poderoso impacto contra el suelo creas una fisura por la que viaja la llamarada golpeando al minotauro, ocasionando una explosión que calcina a la bestia."
SAY.Tutorial and First Room.281.,,"You try to throw the minotaur with a strong blizzard but unfortunately the beast is very strong approaching the ground with its powerful claws, you can not make it back, finally your worn body can not stand and you are collapsing on the ground, while the strong breeze of your spell Take your last breath with you.","Tratas de vencer al minotauro con una poderosa ventisca helada pero el minotauro es muy fuerte, resiste la helada y con sus poderosas garras se sujeta al suelo avanzando lentamente, persiste en en tu intento pero no logras detenerlo y mientras más se acerca, tu cansado cuerpo colapsa. Con el último soplo de briza helada escapa también el último aliento de tu alma. "
SAY.Tutorial and First Room.284.,,"The battle was nearing its end, so you place your hands in front of you pointing to the beast, the minotaur prepares to launch himself against you with a final attack.","La batalla casi se acerca a su final, colocas tus manos frente a ti mientras señalas a la bestia. Esta se prepara para lanzarse contra ti en un último ataque. "
SAY.Tutorial and First Room.285.,,"The minotaur pounces on you with fury, you wait for the moment and summon a powerful torrent of water that emerges from the palm of your hand to the beast, the attack contains for a moment the beast but then it continues to advance.","El minotauro se lanza con furia sobre ti, esperas el momento perfecto para  generar un torrente de agua que emerge desde la palma de tu mano hacia la bestia, ese ataque contiene ligeramente a la bestia pero sigue avanzando. "
SAY.Tutorial and First Room.286.,,"The minotaur continues his march against you, in that moment you make a gesture with your hand raising the index upwards. Then the water that remains in the ground emerges as a torrent of ice that perforates the minotaur leaving it inert on you.","Continuando su marcha hacia ti el minotauro se acerca hacia ti, cuando esta próximo a alcanzarte levantas tus indices haciendo que toda el agua alrededor del minotauro se alce en forma de puás que atraviesan al minotauro. "
SAY.Tutorial and First Room.288.,,"Now that you have finished with the minotaur, you can continue advancing, after a few minutes of walking, an incriminated one appears before you, choose:","Ahora que has acabado con el minotauro puedes proceder con tu viaje, tras unos momentos caminando encuentras frente a ti una división, Elige: "
SAY.Tutorial and First Room.291.,,"
You cast your spells but your magic power is not enough to harm the beast, so without flinching it attacks you, ending your life.","Invocas tus hechizos para vencer a la bestia, pero tu poder mágico no es suficiente para vencerla. Sin vacilar el minotauro te ataca y acaba con tu vida. "
SAY.Tutorial and First Room.298.,,"You run from the dead, but the beast is behind you.","Tu corres  por tu vida, pero el minotauro está detrás de ti. "
SAY.Tutorial and First Room.299.,,,
Forward on the road a separation is coming.,,,
SAY.Tutorial and First Room.302.,,"You try escape but the beast is so fast.\n
With a furious attack the minotaur hits you, crossing you and ending your adventure in the dungeon.","Tratas de escapar pero la bestia es muy rápida, \n con un furioso ataque el minotauro te golpea, atravesándote  y poniendo fin a tu en el calabozo. "
SAY.Tutorial and First Room.306.,,"You're running trying to run away from the minotaur, so you must choose to save yourself, choose:","Estás corriendo intentando escapar del minotauro, por lo que debes elegir salvarte, elige: "
MENU.Tutorial and First Room.307,,Left,Izquierda
MENU.Tutorial and First Room.308,,Right,Derecha
SAY.Tutorial and First Room.312.,,"You Shoot a powerfull spell and stun the minotauro, but is still alive, Choose:","Lanzas un poderoso hechizo que deja aturdido al minotauro. Pero aun no has terminado tu labor, elige: "
MENU.Tutorial and First Room.313,,Attack Again,Volver Atacar
MENU.Tutorial and First Room.314,,Run,Correr
SAY.Tutorial and First Room.316.,,Your attack don`t do any damage and now the minotaur attack you.,"Tu ataque no surte ningún efecto, y ahora el minotauro te ataca. "
SAY.Tutorial and First Room.317.,,"You was hurt, losing 25 points of life.","Fuiste herido, perdiste 25 puntos de vida. "
WRITE.Tutorial and First Room.319,,{$Life},{$Life}
SAY.Tutorial and First Room.320.,,You have to do something quickly or you gonna die.,
\nChoose:,,,
MENU.Tutorial and First Room.321,,Attack Again,Volver Atacar
MENU.Tutorial and First Room.322,,Run,Correr
SAY.Tutorial and First Room.326.,,You summon a powerful thunder that rushes against the minotaur like a spear piercing its flesh and leaving it dead at your feet.,"Tu generas un poderoso trueno que que se abalanza contra el minotauro como una penetrante lanza, que atraviesa al minotauro desplomándose frente a ti,el cadáver de la bestia."
SAY.Tutorial and First Room.330.,,"
You hit the floor of the dungeon with a powerful blow, managing to create a crack that opens under the feet of the minotaur, swallowing it and plunging your enemy into deep terror.","Azotas el piso de la mazmorra con un poderoso golpe, logrando crear una grieta que se abre bajo los pies del minotauro, tragándolo y hundiendo a tu enemigo en un terror profundo. "
SAY.Tutorial and First Room.334.,,"

Using your magic you create a flare around your right arm, giving a powerful blow against the floor, you throw the flare through the ground that when hitting the minotaur, causes an explosion that calzinates the beast.","Usando tu magia, creas una llamarada alrededor de tu brazo derecho, dando un poderoso golpe contra el piso, lanzas la llamarada a través del suelo que al golpear al minotauro, causando una explosión que calcina a la bestia. "
SAY.Tutorial and First Room.338.,,"
You try to throw the minotaur with a strong blizzard but unfortunately the beast is very strong approaching the ground with its powerful claws, you can not make it back, finally your worn body can not stand and you are collapsing on the ground, while the strong breeze of your spell Take your last breath with you.","Intentas lanzar al minotauro con una fuerte ventisca, pero desafortunadamente la bestia es muy fuerte, esta se aferra al suelo con sus poderosas garras, no logras hacerla retroceder, tu cuerpo desgastado no puede mantenerse en pie y colapsas en el suelo, mientras la brisa de tu hechizo sopla llevandose tu último aliento consigo. "
SAY.Tutorial and First Room.341.,,"The battle was nearing its end, so you place your hands in front of you pointing to the beast, the minotaur prepares to launch himself against you with a final attack.","La batalla estaba llegando a su fin, colocando tus manos frente a ti apuntando a la bestia, el minotauro se prepara para lanzarse contra ti con un ataque final. "
SAY.Tutorial and First Room.342.,,"The minotaur pounces on you with fury, you wait for the moment and summon a powerful torrent of water that emerges from the palm of your hand to the beast, the attack contains for a moment the beast but then it continues to advance.","El minotauro se abalanza sobre ti con furia, esperas el momento y convocas un poderoso torrente de agua que emerge de la palma de tu mano a la bestia, el ataque contiene por un momento a la bestia, pero luego continúa avanzando. "
SAY.Tutorial and First Room.343.,,"The minotaur continues his march against you, in that moment you make a gesture with your hand raising the index upwards. Then the water that remains in the ground emerges as a torrent of ice that perforates the minotaur leaving it inert on you.","El minotauro continúa su marcha contra ti, en ese momento haces un gesto con la mano elevando el índice hacia arriba. Luego, el agua que permanece en el suelo emerge como un torrente de hielo que perfora el corazón del minotauro dejando su cadáver inerte ante ti. "
SAY.Tutorial and First Room.345.,,"Now that you have finished with the minotaur, you can continue advancing, after a few minutes of walking, an incriminated one appears before you, choose:","Ahora que has terminado con el minotauro, puedes continuar avanzando, después de unos minutos de caminata, aparece una separación del camino delante de ti, elige: "
